run_id,date,git_commit,model,dataset,dataset_size,seed,training_method,epochs,effective_batch_size,learning_rate,max_length,gpu_count,checkpoint,metric,result_path,log_path,notes
sft_gate_1p7b_20260912,2026-09-12,000214851b34df9acd5246717aef66d5d9c6b843,Qwen3-1.7B,EnvFactory-SFT-FILTERED,128,42,full_sft_zero3,0.015625,2,0.000001,16384,2,repro_1p7b/checkpoints/baseline_sft_gate_1p7b,train_loss=2.4957048892974854,repro_1p7b/results/baseline/sft_gate_summary.json,repro_1p7b/logs/baseline_sft_gate_1p7b.log,one-step exact-protocol gate; formal run not started
pilot_16k_acc32_20260912,2026-09-12,40dc336182af976771cfb87fac050668907c9727,Qwen3-1.7B,EnvFactory-SFT-FILTERED,26463,42,full_sft_zero3,0.0,64,0.000001,16384,2,,OOM_after_step_1_loss=1.9161,repro_1p7b/results/baseline/sft_pilot_16k_oom_summary.json,repro_1p7b/logs/baseline_sft_pilot_1p7b.log,failed CUDA OOM; no checkpoint
gate_8k_acc32_2step_20260912,2026-09-12,54be24d,Qwen3-1.7B,EnvFactory-SFT-FILTERED,26463,42,full_sft_zero3,0.0048367593712212815,64,0.000001,8192,2,repro_1p7b/checkpoints/baseline_sft_gate_8k_2step_1p7b,train_loss=1.9541229009628296,repro_1p7b/results/baseline/sft_gate_8k_2step_summary.json,repro_1p7b/logs/baseline_sft_gate_8k_2step_1p7b.log,resource-adapted 8K steady-state gate passed
bfcl_v3_smoke_base_seed20260913,2026-09-13,4c16bf71dce2875ce58dd860c41b70e8971c204f,Qwen/Qwen3-1.7B-FC,BFCL V3 multi_turn,8,20260913,evaluation_only,,,,official_dynamic_up_to_4096_output,1,/home/u2024311031/workspace/envfactory_repro_1p7b/repro_1p7b/models/Qwen3-1.7B,smoke_unweighted_multi_turn_accuracy=0.0,/home/u2024311031/workspace/envfactory_repro_1p7b/repro_1p7b/evaluation/bfcl/artifacts/smoke/base/result,/home/u2024311031/workspace/envfactory_repro_1p7b/repro_1p7b/evaluation/bfcl/logs/smoke,official BFCL v1.3 partial evaluation; pipeline smoke only; inference_error_count=0
bfcl_v3_smoke_sft_seed20260913,2026-09-13,4c16bf71dce2875ce58dd860c41b70e8971c204f,Qwen/Qwen3-1.7B-FC,BFCL V3 multi_turn,8,20260913,evaluation_only,,,,official_dynamic_up_to_4096_output,1,/home/u2024311031/workspace/envfactory_repro_1p7b/repro_1p7b/checkpoints/baseline_sft_8k_1p7b,smoke_unweighted_multi_turn_accuracy=0.125,/home/u2024311031/workspace/envfactory_repro_1p7b/repro_1p7b/evaluation/bfcl/artifacts/smoke/sft/result,/home/u2024311031/workspace/envfactory_repro_1p7b/repro_1p7b/evaluation/bfcl/logs/smoke,official BFCL v1.3 partial evaluation; pipeline smoke only; inference_error_count=1
